FECHA,HORA,TEMPERATURA MEDIA (°C),HUMEDAD RELATIVA (%),PRECIPITACION (mm),VELOCIDAD_VIENTO (m/s),DIRECCIÓN_VIENTO (°)
12/28/2016 0:00,18:00:00,23.9,59.1,S/D,2.6,279
12/28/2016 0:00,19:00:00,22.6,71.9,0,2.1,248
12/28/2016 0:00,20:00:00,22.2,71.8,0,1.8,250
12/28/2016 0:00,21:00:00,22.1,70.8,0,1.2,250
12/28/2016 0:00,22:00:00,21.9,71.2,0,1.7,271
12/28/2016 0:00,23:00:00,22.1,69,0,1.5,261
12/29/2016 0:00,0:00:00,22,67.2,0,2.1,280
12/29/2016 0:00,1:00:00,21,78.9,0,2.4,268
12/29/2016 0:00,2:00:00,20.4,82.5,0,1.1,256
12/29/2016 0:00,3:00:00,20.5,82.3,0,1.5,248
12/29/2016 0:00,4:00:00,20,84.7,0,1.2,257
12/29/2016 0:00,5:00:00,19.8,86,0,0.8,249
12/29/2016 0:00,6:00:00,20.1,84.3,0,0.2,282
12/29/2016 0:00,7:00:00,20.2,85.4,0,2.4,273
12/29/2016 0:00,8:00:00,20.9,82.9,0,2.3,274
12/29/2016 0:00,9:00:00,21.3,80.3,0,2.6,270
12/29/2016 0:00,10:00:00,22.6,69.9,0,2.9,265
12/29/2016 0:00,11:00:00,24,63.9,0,4.7,276
12/29/2016 0:00,12:00:00,23.9,62.4,0,4.5,277
12/29/2016 0:00,13:00:00,25.4,52.5,0,3.6,269
12/29/2016 0:00,14:00:00,25.4,53.2,0,4,228
12/29/2016 0:00,15:00:00,25.6,52.5,0,3.5,246
12/29/2016 0:00,16:00:00,24.2,59.1,0,3.2,256
12/29/2016 0:00,17:00:00,22.6,68.6,0,2.7,272
12/29/2016 0:00,18:00:00,22.4,65.4,0,2.9,261
12/29/2016 0:00,19:00:00,22.2,66.9,0,2.3,265
12/29/2016 0:00,20:00:00,22,67.6,0,2,247
12/29/2016 0:00,21:00:00,21.7,70.4,0,2.3,247
12/29/2016 0:00,22:00:00,21.4,76.6,0,1.5,256
12/29/2016 0:00,23:00:00,20.8,80.8,0,1.5,242
12/30/2016 0:00,0:00:00,20.2,86.5,0,2.3,240
12/30/2016 0:00,1:00:00,19.5,89,0,1.6,228
12/30/2016 0:00,2:00:00,19.6,88.1,0,1,294
12/30/2016 0:00,3:00:00,19.5,89.4,0,1.6,244
12/30/2016 0:00,4:00:00,19.5,88.9,0,0.7,267
12/30/2016 0:00,5:00:00,19.4,89.2,0,1.3,243
12/30/2016 0:00,6:00:00,19.5,89.1,0,1.5,242
12/30/2016 0:00,7:00:00,19.4,89.3,0,1.7,279
12/30/2016 0:00,8:00:00,19.9,85.8,0,1.8,240
12/30/2016 0:00,9:00:00,21.4,78.6,0,2.7,238
12/30/2016 0:00,10:00:00,21.4,79.6,0,3.8,278
12/30/2016 0:00,11:00:00,21.8,76.8,0,3.3,259
12/30/2016 0:00,12:00:00,23.7,62.2,0,3,262
12/30/2016 0:00,13:00:00,25.3,54.1,0,4,287
12/30/2016 0:00,14:00:00,25.7,53.7,0.1,3.2,237
12/30/2016 0:00,15:00:00,25.8,53.7,0.1,3.6,253
12/30/2016 0:00,16:00:00,25.6,50.5,0,4.6,241
12/30/2016 0:00,17:00:00,24.6,53.8,0.5,3.7,253
12/30/2016 0:00,18:00:00,24,56,0.2,2.7,256
12/30/2016 0:00,19:00:00,23.4,61,0.1,2.4,282
12/30/2016 0:00,20:00:00,23.3,63.2,0,2.6,242
12/30/2016 0:00,21:00:00,22.9,64.7,0.1,2,277
12/30/2016 0:00,22:00:00,22.9,64.7,0,2,286
1/2/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/3/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/4/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/6/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/11/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/20/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/21/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/22/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/23/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/24/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/25/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/26/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/27/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/28/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/29/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/30/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
1/31/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
2/1/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
2/2/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
2/3/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
2/4/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
2/5/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
2/6/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
2/7/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
2/8/2017 0:00,7:00:00,S/D,S/D,S/D,S/D,S/D
2/10/2017 0:00,0:00:00,22.5,81.2,0,2.5,272
2/10/2017 0:00,1:00:00,22.1,81.9,0,1.7,237
2/10/2017 0:00,2:00:00,22,82.9,0,2.3,268
2/10/2017 0:00,3:00:00,21.6,84.5,0,0.7,263
2/10/2017 0:00,4:00:00,22,81.9,0,1.3,284
2/10/2017 0:00,5:00:00,21.8,84,0,1,246
2/10/2017 0:00,6:00:00,22.2,81.1,0,0.1,265
2/10/2017 0:00,7:00:00,22.9,78.7,0,0.7,254
2/10/2017 0:00,8:00:00,23,78.8,0,1.8,264
2/10/2017 0:00,9:00:00,23.5,77.2,0,2.2,250
2/10/2017 0:00,10:00:00,24,74,0,4.2,270
2/10/2017 0:00,11:00:00,26.2,60.6,0,3.8,253
2/10/2017 0:00,12:00:00,26.9,57.8,0,3.8,261
2/10/2017 0:00,13:00:00,27.2,55.9,0,4.3,259
2/10/2017 0:00,14:00:00,26.8,53.7,0,4,258
2/10/2017 0:00,15:00:00,27.1,53.1,0,3,236
2/10/2017 0:00,16:00:00,26.8,53.1,0,2.7,252
2/10/2017 0:00,17:00:00,26.9,53.6,0,2.3,243
2/10/2017 0:00,18:00:00,26.4,53.3,0,2,247
2/10/2017 0:00,19:00:00,26,58.2,0,2,246
2/10/2017 0:00,20:00:00,24.7,68,0,2.8,240
2/10/2017 0:00,21:00:00,23.7,68.8,0,2,238
2/10/2017 0:00,22:00:00,23.3,74.8,0,1.4,253
2/10/2017 0:00,23:00:00,23.3,75.1,0,1.4,248
2/11/2017 0:00,0:00:00,22.9,78.1,0,1,245
2/11/2017 0:00,1:00:00,23,76.5,0,0.1,262
2/11/2017 0:00,2:00:00,23.4,73.2,0,1.2,240
2/11/2017 0:00,3:00:00,23.3,74.9,0,0.3,135
2/11/2017 0:00,4:00:00,23.4,74.3,0,1.3,267
2/11/2017 0:00,5:00:00,23,78.6,0,1,267
2/11/2017 0:00,6:00:00,23.3,77.4,0,0.7,272
2/11/2017 0:00,7:00:00,23.7,74.7,0,0.4,132
2/11/2017 0:00,8:00:00,23.4,79.3,0,2.2,274
2/11/2017 0:00,9:00:00,24.1,75.3,0,2,242
2/11/2017 0:00,10:00:00,25.8,60.2,0,2.2,267
2/11/2017 0:00,11:00:00,26.9,54.9,0,2.7,280
2/11/2017 0:00,12:00:00,28,48.9,0.1,2.4,253
2/11/2017 0:00,13:00:00,28.1,48.5,0.2,2.7,259
2/11/2017 0:00,14:00:00,29.3,46.7,0,3.7,239
2/11/2017 0:00,15:00:00,29.3,43.3,0,4.2,239
2/11/2017 0:00,16:00:00,28.4,47.2,0.4,3.1,252
2/11/2017 0:00,17:00:00,28.1,45.5,0.2,3.4,247
2/11/2017 0:00,18:00:00,26.8,51.1,0.3,2.8,258
2/11/2017 0:00,19:00:00,25.6,58.8,0.2,3.4,272
2/11/2017 0:00,20:00:00,24.6,62.9,0.2,2.1,249
2/11/2017 0:00,21:00:00,24.2,68.5,0.1,2,245
2/11/2017 0:00,22:00:00,23.5,71.1,0.1,1.9,252
2/11/2017 0:00,23:00:00,23.3,72.4,0.1,1.6,266
2/12/2017 0:00,0:00:00,23.4,72.8,0,1.6,242
2/12/2017 0:00,1:00:00,22.7,79.2,0,2.1,240
2/12/2017 0:00,2:00:00,22.3,80.9,0,1.7,254
2/12/2017 0:00,3:00:00,22.5,79.8,0,0.6,222
2/12/2017 0:00,4:00:00,22.4,80.2,0,0.9,248
2/12/2017 0:00,5:00:00,22.6,79,0,0.5,259
2/12/2017 0:00,6:00:00,22.6,77.8,0,0.7,75
2/12/2017 0:00,7:00:00,23.1,75.2,0,0.4,161
2/12/2017 0:00,8:00:00,24.9,67,0,1.1,265
2/12/2017 0:00,9:00:00,26.1,63.1,0,2.1,247
2/12/2017 0:00,10:00:00,26.9,59.7,0,2.8,252
2/12/2017 0:00,11:00:00,27.2,52.3,0,3,246
2/12/2017 0:00,12:00:00,28.3,52.4,0,3.3,253
2/12/2017 0:00,13:00:00,27.8,51.8,0.4,3.9,244
2/12/2017 0:00,14:00:00,28,50,0.1,3.8,259
2/12/2017 0:00,15:00:00,27.7,50.5,0,3.9,242
2/12/2017 0:00,16:00:00,27.7,52.8,0,2.5,249
2/12/2017 0:00,17:00:00,27.2,52.2,0,2.7,265
2/12/2017 0:00,18:00:00,26.4,52.3,0,2.3,265
2/12/2017 0:00,19:00:00,25.6,60.3,0,1.8,258
2/12/2017 0:00,20:00:00,24.8,61.7,0,2.1,257
2/12/2017 0:00,21:00:00,24.2,67.8,0,1.6,238
2/12/2017 0:00,22:00:00,23.9,67.6,0,1.4,244
2/12/2017 0:00,23:00:00,23.3,75.4,0,1.6,240
2/13/2017 0:00,0:00:00,22.8,78.7,0,1.8,234
2/13/2017 0:00,1:00:00,22.9,77.7,0,1.4,224
2/13/2017 0:00,2:00:00,23.2,75,0,0.3,244
2/13/2017 0:00,3:00:00,23.4,71.9,0,1.3,263
2/13/2017 0:00,4:00:00,23.1,74.6,0,1.3,254
2/13/2017 0:00,5:00:00,22.8,78.7,0,1.6,267
2/13/2017 0:00,6:00:00,22.5,78.6,0,1.5,282
2/13/2017 0:00,7:00:00,22.8,80.2,0,0.9,232
2/13/2017 0:00,8:00:00,23.6,76.6,0,1.5,268
2/13/2017 0:00,9:00:00,25.4,65.8,0,1.2,234
2/13/2017 0:00,10:00:00,26.9,57.6,0,2.2,266
2/13/2017 0:00,11:00:00,28,55.7,0,2.9,257
2/13/2017 0:00,12:00:00,27.8,53.7,0,4,256
2/13/2017 0:00,13:00:00,27.7,56.1,0,3.8,244
2/13/2017 0:00,14:00:00,27,56.5,0,3.1,249
2/13/2017 0:00,15:00:00,28,48.8,0,2.4,257
2/13/2017 0:00,16:00:00,28,49.1,0,3.2,252
2/13/2017 0:00,17:00:00,26.8,54.6,0,3.3,231
2/13/2017 0:00,18:00:00,25.7,59.8,0,2.3,242
2/13/2017 0:00,19:00:00,24.8,65.7,0,1.7,253
2/13/2017 0:00,20:00:00,24.3,66.8,0,1.8,250
2/13/2017 0:00,21:00:00,24,64.3,0,1.7,244
2/13/2017 0:00,22:00:00,23.8,65.2,0,1.3,243
2/13/2017 0:00,23:00:00,23.5,66.7,0,0.1,77
2/14/2017 0:00,0:00:00,23.5,66.9,0,0.4,128
2/14/2017 0:00,1:00:00,23.8,66.3,0,1,249
2/14/2017 0:00,2:00:00,23.5,66.5,0,1.3,272
2/14/2017 0:00,3:00:00,22.5,78.8,S/D,2,235
2/14/2017 0:00,4:00:00,23,76.9,0,0.9,219
2/14/2017 0:00,5:00:00,23.2,74.6,0,0.3,58
2/14/2017 0:00,6:00:00,23.3,74,0,0.8,102
2/14/2017 0:00,7:00:00,24,71,0,0.9,191
2/14/2017 0:00,8:00:00,24.9,64.5,0,1.2,271
2/14/2017 0:00,9:00:00,26.7,57.2,0,2.1,237
2/14/2017 0:00,10:00:00,26.8,57.8,0,3.4,252
2/14/2017 0:00,11:00:00,27.1,53.4,0,4.1,279
2/15/2017 0:00,0:00:00,24.5,65.9,0,1.2,230
2/15/2017 0:00,1:00:00,24.1,67.1,0,0.6,32
2/15/2017 0:00,2:00:00,23.6,69.1,0,0.2,128
2/15/2017 0:00,3:00:00,23.7,69,0,0.2,122
2/15/2017 0:00,4:00:00,22.9,71,0,1,19
2/15/2017 0:00,5:00:00,22.9,71.7,0,0.4,167
2/15/2017 0:00,6:00:00,22.3,74,0,0.9,58
2/15/2017 0:00,7:00:00,23.9,65.4,0,0.3,124
2/15/2017 0:00,8:00:00,26.8,58.8,0,0.6,260
2/15/2017 0:00,9:00:00,27.9,54.1,0,1.9,248
2/15/2017 0:00,10:00:00,28.9,52.9,0,2.8,258
2/15/2017 0:00,11:00:00,30.2,47,0,2.5,269
2/15/2017 0:00,12:00:00,29.6,50,0,3.6,253
2/15/2017 0:00,13:00:00,29,50.7,0,4.9,293
2/15/2017 0:00,14:00:00,29.5,49.7,0,4,269
2/15/2017 0:00,15:00:00,28.5,51.8,0,3.9,233
2/15/2017 0:00,16:00:00,28.4,51.6,0,3.7,243
2/15/2017 0:00,17:00:00,27.9,52.4,0,3.3,238
2/15/2017 0:00,18:00:00,27,56.7,0,2.8,240
2/15/2017 0:00,19:00:00,26.2,60.4,0,2,258
2/15/2017 0:00,20:00:00,26,60.1,0,1.6,255
2/15/2017 0:00,21:00:00,26.2,59.8,0,1.3,248
2/15/2017 0:00,22:00:00,26.3,59.1,0,0.9,249
2/15/2017 0:00,23:00:00,25.9,60,0,0.9,249
2/16/2017 0:00,0:00:00,25.6,60.8,0,1.9,262
2/16/2017 0:00,1:00:00,24.9,65.1,0,2.4,265
2/16/2017 0:00,2:00:00,24,73,0,1.8,236
2/16/2017 0:00,3:00:00,24,71.8,0,0.2,305
2/16/2017 0:00,4:00:00,24,73.1,0,0.6,231
2/16/2017 0:00,5:00:00,23.5,76.9,0,1.1,235
2/16/2017 0:00,6:00:00,23.3,77.1,0,0.4,231
2/16/2017 0:00,7:00:00,23.4,77,0,0.8,60
2/16/2017 0:00,8:00:00,25.1,65.6,0,1.5,102
2/16/2017 0:00,9:00:00,26.9,57.7,0,0.3,256
2/16/2017 0:00,10:00:00,27.4,58.7,0,2.2,261
2/16/2017 0:00,11:00:00,28.7,53.1,0,3.1,290
2/16/2017 0:00,12:00:00,30.1,46.1,0,3.6,300
2/16/2017 0:00,13:00:00,30.5,44.4,0,4.5,282
2/16/2017 0:00,14:00:00,29.5,47.7,0.3,3.4,243
2/16/2017 0:00,15:00:00,28.2,52.4,0.4,3.6,242
2/16/2017 0:00,16:00:00,27.3,55.7,0.3,3.3,244
2/16/2017 0:00,17:00:00,26.9,56.3,0.1,2.8,254
2/16/2017 0:00,18:00:00,26.3,57.7,0.1,2.7,276
2/16/2017 0:00,19:00:00,25.7,60.4,0.2,2,268
2/16/2017 0:00,20:00:00,25.6,63.1,0.1,1.6,242
2/16/2017 0:00,21:00:00,25.2,66.6,0.1,1.7,238
2/16/2017 0:00,22:00:00,24.6,72.4,0.1,1.4,256
2/16/2017 0:00,23:00:00,24.8,71.2,0.1,0.6,301
2/17/2017 0:00,0:00:00,24.9,70.6,0,1,266
2/17/2017 0:00,1:00:00,24.5,74.5,0,1.7,270
2/17/2017 0:00,2:00:00,23.8,79.1,0,1.4,247
2/17/2017 0:00,3:00:00,23.3,80.8,0,1.1,230
2/17/2017 0:00,4:00:00,23.3,80.6,0,2.5,266
2/17/2017 0:00,5:00:00,23.1,80.5,0,0.8,110
2/17/2017 0:00,6:00:00,23.8,76.9,0,0.6,77
2/17/2017 0:00,7:00:00,24.4,74.7,0,0.9,176
2/17/2017 0:00,8:00:00,25.1,70.9,0,1.5,290
2/17/2017 0:00,9:00:00,24.6,76,0,1.4,257
2/17/2017 0:00,10:00:00,25.9,67.8,0,1.6,251
2/17/2017 0:00,11:00:00,28.3,52.5,0,2.6,266
2/17/2017 0:00,12:00:00,29.4,50.1,0,3.2,256
2/17/2017 0:00,13:00:00,30.2,47.4,0,3.3,257
2/17/2017 0:00,14:00:00,29.2,46.1,0.5,4.7,242
2/17/2017 0:00,15:00:00,28.6,49.1,0.3,2.9,253
2/17/2017 0:00,16:00:00,28.3,50.7,0,3,232
2/17/2017 0:00,17:00:00,27.7,54.5,0,3.2,233
2/17/2017 0:00,18:00:00,27.2,56.1,0,2.1,246
2/17/2017 0:00,19:00:00,26.5,61.8,0,1.6,236
2/17/2017 0:00,20:00:00,26.3,63.1,0,1.5,242
2/17/2017 0:00,21:00:00,25.9,63.8,0,2,261
2/17/2017 0:00,22:00:00,24.9,64.3,0,1.5,241
2/17/2017 0:00,23:00:00,23.9,77.3,0,2.3,239
2/18/2017 0:00,0:00:00,22.8,83.9,0,2.2,242
2/18/2017 0:00,1:00:00,22.2,86.1,0,0.5,79
2/18/2017 0:00,2:00:00,22.8,82.4,0,0.5,262
2/18/2017 0:00,3:00:00,23.3,79,0,0.1,273
2/18/2017 0:00,4:00:00,23.6,77.5,0,0.5,257
2/18/2017 0:00,5:00:00,23.6,78.6,0,0.6,244
2/18/2017 0:00,6:00:00,22.9,83.7,0,2,260
2/18/2017 0:00,7:00:00,22.7,84.2,0,1.1,220
2/18/2017 0:00,8:00:00,24.6,72.2,0,1.5,285
2/18/2017 0:00,9:00:00,25.9,69.4,0,2.2,239
2/18/2017 0:00,10:00:00,27.6,58.3,0,2.9,239
2/18/2017 0:00,11:00:00,27.9,55.9,0,4.5,278
2/18/2017 0:00,12:00:00,28.9,50.2,0,3.9,271
2/18/2017 0:00,13:00:00,28.5,53.3,0,5.1,228
2/18/2017 0:00,14:00:00,28,53.7,0,4,248
2/18/2017 0:00,15:00:00,28.8,49.9,0,3.9,220
2/18/2017 0:00,16:00:00,27,55,0,4.3,235
2/18/2017 0:00,17:00:00,26.8,56.3,0.3,3,254
2/18/2017 0:00,18:00:00,25.5,62.4,0.4,3.3,274
2/18/2017 0:00,19:00:00,25.4,58.7,0.1,2.5,261
2/18/2017 0:00,20:00:00,24.5,65.9,0.1,1.7,258
2/18/2017 0:00,21:00:00,24.5,66.3,0.1,1.5,251
2/18/2017 0:00,22:00:00,24,69,0.1,1.4,245
2/18/2017 0:00,23:00:00,24.2,67.7,0,1.2,268
2/19/2017 0:00,0:00:00,24.2,67.4,0,0.5,258
2/19/2017 0:00,1:00:00,24.1,69.2,0,1.4,263
2/19/2017 0:00,2:00:00,23.8,72.7,0,1.5,264
2/19/2017 0:00,3:00:00,23.2,75,0,0.7,276
2/19/2017 0:00,4:00:00,23.5,73.2,0,0.3,141
2/19/2017 0:00,5:00:00,23.4,72.9,0,0.6,96
2/19/2017 0:00,6:00:00,23,74.8,0,0.6,76
2/19/2017 0:00,7:00:00,23.1,73.8,0,0.6,57
2/19/2017 0:00,8:00:00,26.8,58,0,0.3,224
2/19/2017 0:00,9:00:00,27.4,55.6,0,1.8,249
2/19/2017 0:00,10:00:00,28.7,50.1,0,2.9,268
2/19/2017 0:00,11:00:00,29.7,42.6,0,3.2,274
2/19/2017 0:00,12:00:00,29.8,40.6,0,4.1,289
2/19/2017 0:00,13:00:00,30.1,37.2,0,3.8,276
2/19/2017 0:00,14:00:00,29.8,39.1,0,3.8,234
2/19/2017 0:00,15:00:00,29.7,39,0,3.4,241
2/19/2017 0:00,16:00:00,28.2,47.9,0.2,3.1,253
2/19/2017 0:00,17:00:00,26.6,56.1,0.3,2.2,246
2/19/2017 0:00,18:00:00,26.7,54.3,0.1,2,243
2/19/2017 0:00,19:00:00,26,63.2,0.2,2,246
2/19/2017 0:00,20:00:00,25.3,63.1,0.2,1.8,248
2/19/2017 0:00,21:00:00,24.8,61.1,0.1,1.9,243
2/19/2017 0:00,22:00:00,24.6,63.7,0.1,1.5,239
2/19/2017 0:00,23:00:00,24.5,65.1,0,1.4,250
2/20/2017 0:00,0:00:00,24.5,63.4,0,0.9,287
2/20/2017 0:00,1:00:00,24.1,68,0.1,1.1,252
2/20/2017 0:00,2:00:00,23.6,73.3,0,1.7,255
2/20/2017 0:00,3:00:00,23.6,69.4,0,0.6,253
2/20/2017 0:00,4:00:00,22.9,72.8,0.1,0.1,91
2/20/2017 0:00,5:00:00,22.9,76.4,0.1,0.7,280
2/20/2017 0:00,6:00:00,22.4,74.8,0.1,0.6,95
2/20/2017 0:00,7:00:00,23.7,70.9,0,0.1,126
2/20/2017 0:00,8:00:00,24.9,69.3,0,1.7,249
2/20/2017 0:00,9:00:00,26.4,62.7,0,2.6,253
2/20/2017 0:00,10:00:00,27.3,56.4,0,3.6,284
2/20/2017 0:00,11:00:00,28.4,47.8,0,3.3,259
2/20/2017 0:00,12:00:00,28.9,48,0,3.9,265
2/20/2017 0:00,13:00:00,28.7,46.3,0,4.7,244
2/20/2017 0:00,14:00:00,28.7,48,0,4.5,278
2/20/2017 0:00,15:00:00,28.9,47.7,0,4.1,271
2/20/2017 0:00,16:00:00,29.1,45.7,0,3.3,273
2/20/2017 0:00,17:00:00,27.9,51.9,0.4,3.8,279
2/20/2017 0:00,18:00:00,27.4,54.8,0.1,2.7,274
2/20/2017 0:00,19:00:00,27,52.6,0.2,2.1,268
2/20/2017 0:00,20:00:00,27,52.8,0.1,1,266
2/20/2017 0:00,21:00:00,26.6,56.3,0.1,1.4,255
2/20/2017 0:00,22:00:00,26.2,57.8,0.1,1.4,257
2/20/2017 0:00,23:00:00,25.3,64.6,0.1,1.8,264
2/21/2017 0:00,0:00:00,24.2,74.1,0.1,1.4,246
2/21/2017 0:00,1:00:00,24,74.4,0.1,0.7,274
2/21/2017 0:00,2:00:00,23.8,74.9,0.1,0.9,253
2/21/2017 0:00,3:00:00,23.5,77,0,0.7,253
2/21/2017 0:00,4:00:00,23.3,77.5,0.1,0.1,303
2/21/2017 0:00,5:00:00,23.1,77.8,0.1,0.4,59
2/21/2017 0:00,6:00:00,22.9,77.9,0,0.1,95
2/21/2017 0:00,7:00:00,23.8,77.3,0,1.1,245
2/21/2017 0:00,8:00:00,25.8,59.2,0,1.3,267
2/21/2017 0:00,9:00:00,27.5,49.1,0,1.5,241
2/21/2017 0:00,10:00:00,28.4,49.6,0,2.7,258
2/21/2017 0:00,11:00:00,29.2,44,0,3.2,249
2/21/2017 0:00,12:00:00,28.7,43.9,0,3.9,275
2/21/2017 0:00,13:00:00,28.3,48.5,0,3.8,284
2/21/2017 0:00,14:00:00,28.1,47.5,0,3,262
2/21/2017 0:00,15:00:00,28.2,45.9,0,2.7,267
2/21/2017 0:00,16:00:00,27.8,47.3,0,2.9,282
2/21/2017 0:00,17:00:00,27,49.2,0,3,276
2/21/2017 0:00,18:00:00,26.7,53.1,0,2.2,287
2/21/2017 0:00,19:00:00,25.8,63.3,0,1.6,296
2/21/2017 0:00,20:00:00,25.4,70.4,0,2.4,243
2/21/2017 0:00,21:00:00,24.8,71.8,0,1.2,251
2/21/2017 0:00,22:00:00,24.3,75.2,0,1.5,245
2/21/2017 0:00,23:00:00,24.2,76.1,0,1.2,258
2/22/2017 0:00,0:00:00,24.3,76.2,0,1.3,246
2/22/2017 0:00,1:00:00,23.8,77.5,0,1.4,260
2/22/2017 0:00,2:00:00,23.6,79.5,0,1.2,242
2/22/2017 0:00,3:00:00,23.4,79,0,0.1,155
2/22/2017 0:00,4:00:00,23.4,79.2,0,1,255
2/22/2017 0:00,5:00:00,23.3,79.2,0,0.9,241
2/22/2017 0:00,6:00:00,22.6,81.3,0,1.2,241
2/22/2017 0:00,7:00:00,23.5,78,0,0.2,106
2/22/2017 0:00,8:00:00,25.2,70.4,0,1.5,252
2/22/2017 0:00,9:00:00,26.3,65.9,0,2.3,257
2/22/2017 0:00,10:00:00,27,57.8,0,2.9,258
2/22/2017 0:00,11:00:00,28.2,48.8,0,3.6,256
2/22/2017 0:00,12:00:00,29.1,41.6,0,4.2,263
2/22/2017 0:00,13:00:00,29.4,39.5,0.1,5,234
2/22/2017 0:00,14:00:00,29.8,46.9,0,4.9,249
2/22/2017 0:00,15:00:00,29.2,46.3,0,4.4,248
2/22/2017 0:00,16:00:00,28.7,44.1,0,3.7,273
2/22/2017 0:00,17:00:00,27.9,45.2,0.4,2.8,268
2/22/2017 0:00,18:00:00,26.4,52.2,0.4,2.4,253
2/22/2017 0:00,19:00:00,26,51.2,0.1,1.3,282
2/22/2017 0:00,20:00:00,25.9,52.5,0.1,0.4,243
2/22/2017 0:00,21:00:00,26,56.1,0,0.7,225
2/22/2017 0:00,22:00:00,26.1,54.1,0,0.8,254
2/22/2017 0:00,23:00:00,25.3,65.4,0,1.2,253
2/23/2017 0:00,0:00:00,25,67.9,0,1.5,233
2/23/2017 0:00,1:00:00,24.7,73.9,0,1.4,244
2/23/2017 0:00,2:00:00,23.7,81.1,0,1.6,244
2/23/2017 0:00,3:00:00,23.4,85,0.1,1.6,286
2/23/2017 0:00,4:00:00,22.8,87.5,0.3,1,261
2/23/2017 0:00,5:00:00,23.1,88.2,0,1.3,280
2/23/2017 0:00,6:00:00,22.9,90,0,0.8,233
2/23/2017 0:00,7:00:00,23.2,88.6,0,0.1,127
2/23/2017 0:00,8:00:00,25,74.5,0,0.2,84
2/23/2017 0:00,9:00:00,25.7,70,0,2,244
2/23/2017 0:00,10:00:00,26.6,70.3,0,3.2,246
2/23/2017 0:00,11:00:00,27.2,58,0,3.8,256
2/23/2017 0:00,12:00:00,28.4,50.3,0,3.6,262
2/23/2017 0:00,13:00:00,28.2,52.9,0,3.2,249
2/23/2017 0:00,14:00:00,28.9,47.8,0,3.6,233
2/23/2017 0:00,15:00:00,29,45.1,0.1,2.8,269
2/23/2017 0:00,16:00:00,28.6,49.3,0,3.1,264
2/23/2017 0:00,17:00:00,27.5,57.8,0,3,242
2/23/2017 0:00,18:00:00,27.3,58.6,0,2.8,266
2/23/2017 0:00,19:00:00,26.5,59.8,0,2.1,252
2/23/2017 0:00,20:00:00,25.2,71.8,0,1.6,246
2/23/2017 0:00,21:00:00,23.8,79.1,0,1.7,258
2/23/2017 0:00,22:00:00,23.3,81.5,0,1.6,240
2/23/2017 0:00,23:00:00,23.1,81.6,0,1.2,240
2/24/2017 0:00,0:00:00,23.1,80.6,0,0.9,249
2/24/2017 0:00,1:00:00,23.1,78.3,0,1.3,261
2/24/2017 0:00,2:00:00,23.2,78.5,0,1.2,257
2/24/2017 0:00,3:00:00,22.7,81.8,0,0.7,249
2/24/2017 0:00,4:00:00,22.8,82.6,0,1.3,259
2/24/2017 0:00,5:00:00,22.4,85,0,1,255
2/24/2017 0:00,6:00:00,22.3,86,0,1.4,255
2/24/2017 0:00,7:00:00,22.4,86.1,0,1,253
2/24/2017 0:00,8:00:00,23.6,80.7,0,0.9,209
2/24/2017 0:00,9:00:00,25.5,72.8,0,1.3,259
2/24/2017 0:00,10:00:00,27.7,58.5,0,1.8,262
2/24/2017 0:00,11:00:00,29.2,56.9,0,2.5,255
2/24/2017 0:00,12:00:00,28.7,53.4,0,5.1,276
2/24/2017 0:00,13:00:00,28.4,48.7,0,4.2,282
2/24/2017 0:00,14:00:00,29.1,45,0,4.3,286
2/24/2017 0:00,15:00:00,29.4,46.6,0,2.4,230
2/24/2017 0:00,16:00:00,28.9,48.3,0,3.6,236
2/24/2017 0:00,17:00:00,28.1,51.5,0,3.8,243
2/24/2017 0:00,18:00:00,27,56.2,0,3.5,234
2/24/2017 0:00,19:00:00,25.4,61.6,0,2.7,241
